code,full-ja,full-ja-hira,full-en,base-ja,base-ja-hira,base-en,level,type,pref,psub,county,subpref,muni,phone
1000,北海道,ほっかいどう,Hokkaido Prefecture,北海道,ほっかいどう,Hokkaido,1,12,1,,,,,
2000,青森県,あおもりけん,Aomori Prefecture,青森,あおもり,Aomori,1,14,2,,,,,
3000,岩手県,いわてけん,Iwate Prefecture,岩手,いわて,Iwate,1,14,3,,,,,
4000,宮城県,みやぎけん,Miyagi Prefecture,宮城,みやぎ,Miyagi,1,14,4,,,,,
5000,秋田県,あきたけん,Akita Prefecture,秋田,あきた,Akita,1,14,5,,,,,
6000,山形県,やまがたけん,Yamagata Prefecture,山形,やまがた,Yamagata,1,14,6,,,,,
7000,福島県,ふくしまけん,Fukushima Prefecture,福島,ふくしま,Fukushima,1,14,7,,,,,
8000,茨城県,いばらきけん,Ibaraki Prefecture,茨城,いばらき,Ibaraki,1,14,8,,,,,
9000,栃木県,とちぎけん,Tochigi Prefecture,栃木,とちぎ,Tochigi,1,14,9,,,,,
10000,群馬県,ぐんまけん,Gunma Prefecture,群馬,ぐんま,Gunma,1,14,10,,,,,
11000,埼玉県,さいたまけん,Saitama Prefecture,埼玉,さいたま,Saitama,1,14,11,,,,,
12000,千葉県,ちばけん,Chiba Prefecture,千葉,ちば,Chiba,1,14,12,,,,,
13000,東京都,とうきょうと,Tokyo Metropolis,東京,とうきょう,Tokyo,1,11,13,,,,,
14000,神奈川県,かながわけん,Kanagawa Prefecture,神奈川,かながわ,Kanagawa,1,14,14,,,,,
15000,新潟県,にいがたけん,Niigata Prefecture,新潟,にいがた,Niigata,1,14,15,,,,,
16000,富山県,とやまけん,Toyama Prefecture,富山,とやま,Toyama,1,14,16,,,,,
17000,石川県,いしかわけん,Ishikawa Prefecture,石川,いしかわ,Ishikawa,1,14,17,,,,,
18000,福井県,ふくいけん,Fukui Prefecture,福井,ふくい,Fukui,1,14,18,,,,,
19000,山梨県,やまなしけん,Yamanashi Prefecture,山梨,やまなし,Yamanashi,1,14,19,,,,,
20000,長野県,ながのけん,Nagano Prefecture,長野,ながの,Nagano,1,14,20,,,,,
21000,岐阜県,ぎふけん,Gifu Prefecture,岐阜,ぎふ,Gifu,1,14,21,,,,,
22000,静岡県,しずおかけん,Shizuoka Prefecture,静岡,しずおか,Shizuoka,1,14,22,,,,,
23000,愛知県,あいちけん,Aichi Prefecture,愛知,あいち,Aichi,1,14,23,,,,,
24000,三重県,みえけん,Mie Prefecture,三重,みえ,Mie,1,14,24,,,,,
25000,滋賀県,しがけん,Shiga Prefecture,滋賀,しが,Shiga,1,14,25,,,,,
26000,京都府,きょうとふ,Kyoto Prefecture,京都,きょうと,Kyoto,1,13,26,,,,,
27000,大阪府,おおさかふ,Osaka Prefecture,大阪,おおさか,Osaka,1,13,27,,,,,
28000,兵庫県,ひょうごけん,Hyogo Prefecture,兵庫,ひょうご,Hyogo,1,14,28,,,,,
29000,奈良県,ならけん,Nara Prefecture,奈良,なら,Nara,1,14,29,,,,,
30000,和歌山県,わかやまけん,Wakayama Prefecture,和歌山,わかやま,Wakayama,1,14,30,,,,,
31000,鳥取県,とっとりけん,Tottori Prefecture,鳥取,とっとり,Tottori,1,14,31,,,,,
32000,島根県,しまねけん,Shimane Prefecture,島根,しまね,Shimane,1,14,32,,,,,
33000,岡山県,おかやまけん,Okayama Prefecture,岡山,おかやま,Okayama,1,14,33,,,,,
34000,広島県,ひろしまけん,Hiroshima Prefecture,広島,ひろしま,Hiroshima,1,14,34,,,,,
35000,山口県,やまぐちけん,Yamaguchi Prefecture,山口,やまぐち,Yamaguchi,1,14,35,,,,,
36000,徳島県,とくしまけん,Tokushima Prefecture,徳島,とくしま,Tokushima,1,14,36,,,,,
37000,香川県,かがわけん,Kagawa Prefecture,香川,かがわ,Kagawa,1,14,37,,,,,
38000,愛媛県,えひめけん,Ehime Prefecture,愛媛,えひめ,Ehime,1,14,38,,,,,
39000,高知県,こうちけん,Kochi Prefecture,高知,こうち,Kochi,1,14,39,,,,,
40000,福岡県,ふくおかけん,Fukuoka Prefecture,福岡,ふくおか,Fukuoka,1,14,40,,,,,
41000,佐賀県,さがけん,Saga Prefecture,佐賀,さが,Saga,1,14,41,,,,,
42000,長崎県,ながさきけん,Nagasaki Prefecture,長崎,ながさき,Nagasaki,1,14,42,,,,,
43000,熊本県,くまもとけん,Kumamoto Prefecture,熊本,くまもと,Kumamoto,1,14,43,,,,,
44000,大分県,おおいたけん,Oita Prefecture,大分,おおいた,Oita,1,14,44,,,,,
45000,宮崎県,みやざきけん,Miyazaki Prefecture,宮崎,みやざき,Miyazaki,1,14,45,,,,,
46000,鹿児島県,かごしまけん,Kagoshima Prefecture,鹿児島,かごしま,Kagoshima,1,14,46,,,,,
47000,沖縄県,おきなわけん,Okinawa Prefecture,沖縄,おきなわ,Okinawa,1,14,47,,,,,
